wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
776,0.7341,1.218,1.3,0.0437,0.30937,0.061635,
777,0.7398,1.187,1.312,0.04341,0.30752,0.061847,
778,0.745,1.157,1.324,0.04312,0.30566,,
779,0.7496,1.13,1.338,0.04283,0.3038,,
780,0.7539,1.105,1.352,0.04254,0.30194,,
781,0.7582,1.08,1.366,0.04225,0.3001,,
782,0.763,1.057,1.38,0.04197,0.29826,,
783,0.7685,1.037,1.393,0.04169,0.29644,,
784,0.7746,1.017,1.406,0.04141,0.29464,,
785,0.781,0.9975,1.419,0.04113,0.29285,,
786,0.7874,0.9822,1.431,0.04086,0.29109,,
787,0.7935,0.9668,1.443,0.04059,0.28936,,
788,0.799,0.9515,1.455,0.04032,0.28766,,
789,0.8037,0.9385,1.467,0.04005,0.28599,,
790,0.8079,0.9264,1.479,0.03978,0.28435,,
791,0.8122,0.9143,1.49,0.03952,0.28275,,
792,0.817,0.9034,1.502,0.03926,0.28119,,
793,0.8227,0.8939,1.513,0.039,0.27968,,
794,0.8288,0.8844,1.525,0.03874,0.27821,,
795,0.835,0.8752,1.536,0.03848,0.27679,,
796,0.8408,0.8676,1.548,0.03823,0.27542,,
797,0.8464,0.86,1.56,0.03797,0.27411,,
798,0.852,0.8524,1.572,0.03772,0.27286,,
799,0.8579,0.8461,1.584,0.03747,0.27166,,
800,0.8637,0.8399,1.596,0.03722,0.27053,,
801,0.869,0.8338,1.609,0.03698,0.26947,,
802,0.8735,0.8285,1.621,0.03673,0.26848,,
803,0.8775,0.8237,1.634,0.03649,0.26755,,
804,0.8815,0.819,1.647,0.03624,0.26671,,
805,0.886,0.8146,1.66,0.036,0.26594,,
806,0.8913,0.8111,1.673,0.03576,0.26525,,
807,0.8971,0.8075,1.685,0.03552,0.26465,,
808,0.903,0.804,1.698,0.03528,0.26413,,
809,0.9088,0.8014,1.71,0.03505,0.2637,,
810,0.9144,0.7987,1.722,0.03481,0.26337,,
811,0.92,0.7961,1.734,0.03457,0.26312,,
812,0.9257,0.7941,1.746,0.03434,0.26298,,
813,0.9311,0.7922,1.758,0.03411,0.26294,,
814,0.936,0.7904,1.77,0.03388,0.263,,
815,0.9402,0.7888,1.782,0.03364,0.26317,,
816,0.944,0.7874,1.793,0.03341,0.26345,,
817,0.9478,0.7861,1.805,0.03318,0.26384,,
818,0.952,0.7849,1.817,0.03295,0.26435,,
819,0.957,0.7842,1.829,0.03273,0.26497,,
820,0.9624,0.7834,1.841,0.0325,0.26572,,
821,0.968,0.7827,1.853,0.03227,,,
822,0.9734,0.7822,1.865,0.03204,,,
823,0.9785,0.7817,1.878,0.03182,,,
824,0.983,0.7812,1.89,0.03159,,,
825,0.9869,0.7809,1.903,0.03137,,,
826,0.9904,0.7808,1.915,0.03114,,,
827,0.994,0.7806,1.928,0.03092,,,
828,0.998,0.7805,1.941,0.03069,,,
829,1.003,0.7804,1.953,0.03047,,,
830,1.008,0.7804,1.966,0.03024,,,
831,1.013,0.7804,1.979,0.03002,,,
832,1.018,0.7804,1.991,0.0298,,,
833,1.023,0.7804,2.004,0.02957,,,
834,1.028,0.7805,2.016,0.02935,,,
835,1.033,0.7805,2.028,0.02912,,,
836,1.038,0.7806,2.04,0.0289,,,
837,1.043,0.7807,2.051,0.02868,,,
838,1.048,0.7809,2.063,0.02845,,,
839,1.053,0.7812,2.074,0.02823,,,
840,1.057,0.7815,2.084,0.028,,,
841,1.06,0.7817,2.094,0.02777,,,
842,1.063,0.782,2.104,0.02755,,,
843,1.067,0.7823,2.113,0.02732,,,
844,1.07,0.7827,2.123,0.0271,,,
845,1.074,0.7833,2.132,0.02687,,,
846,1.079,0.7839,2.141,0.02664,,,
847,1.084,0.7845,2.15,0.02642,,,
848,1.089,0.785,2.16,0.02619,,,
849,1.093,0.7856,2.169,0.02596,,,
850,1.097,0.7861,2.178,0.02573,,,
851,1.102,0.7871,2.187,0.02551,,,
852,1.106,0.788,2.196,0.02528,,,
853,1.11,0.789,2.205,0.02505,,,
854,1.113,0.7901,2.214,0.02482,,,
855,1.116,0.7912,2.223,0.0246,,,
856,1.119,0.7923,2.232,0.02437,,,
857,1.122,0.7935,2.24,0.02414,,,
858,1.126,0.7949,2.249,0.02391,,,
859,1.13,0.7963,2.258,0.02369,,,
860,1.134,0.7977,2.267,0.02346,,,
861,1.138,0.7993,2.276,0.02323,,,
862,1.142,0.8009,2.285,0.02301,,,
863,1.146,0.8025,2.294,0.02278,,,
864,1.15,0.8044,2.303,0.02255,,,
865,1.154,0.8063,2.311,0.02233,,,
866,1.157,0.8082,2.32,0.0221,,,
867,1.16,0.8102,2.329,0.02188,,,
868,1.164,0.8122,2.338,0.02165,,,
869,1.167,0.8143,2.347,0.02143,,,
870,1.171,0.8166,2.355,0.02121,,,
871,1.174,0.8189,2.364,0.02098,,,
872,1.177,0.8213,2.373,0.02076,,,
873,1.18,0.8237,2.382,0.02054,,,
874,1.182,0.8261,2.391,0.02032,,,
875,1.184,0.8285,2.4,0.0201,,,
876,1.187,0.831,2.408,0.01988,,,
877,1.19,0.8336,2.417,0.01966,,,
878,1.193,0.8361,2.426,0.01944,,,
879,1.196,0.8387,2.435,0.01922,,,
880,1.199,0.8412,2.444,0.019,,,
881,1.201,0.8438,2.453,0.01878,,,
882,1.204,0.8463,2.462,0.01857,,,
883,1.207,0.8489,2.471,0.01835,,,
884,1.209,0.8516,2.48,0.01814,,,
885,1.212,0.8542,2.489,0.01792,,,
886,1.214,0.8568,2.498,0.01771,,,
